epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3101,1.83397,2.23729,0.9162,0.25135,0.37534,0.24998,0.11075,1.66978,2.44776,0.86564,0.000225,0.000225,0.000225
2,29.7314,1.47447,0.9715,0.83168,0.36361,0.41167,0.37668,0.15781,1.95628,1.7902,0.9371,0.000453342,0.000453342,0.000453342
3,42.8147,1.45267,0.89352,0.83506,0.64935,0.52671,0.5765,0.28926,1.30516,1.01664,0.81873,0.00067228,0.00067228,0.00067228
4,60.349,1.4259,0.7891,0.8227,0.65808,0.5009,0.5498,0.29704,1.26926,0.80252,0.82079,0.000881812,0.000881812,0.000881812
5,80.3406,1.39772,0.74857,0.82376,0.64132,0.54065,0.57244,0.31925,1.28927,0.76286,0.82668,0.00108194,0.00108194,0.00108194
6,100.813,1.42466,0.7484,0.81358,0.73779,0.58941,0.62948,0.31639,1.40343,0.81577,0.82677,0.00112625,0.00112625,0.00112625
7,121.152,1.47019,0.72716,0.81984,0.75641,0.62154,0.69958,0.36535,1.30526,0.71949,0.82455,0.0011015,0.0011015,0.0011015
8,136.323,1.34818,0.68333,0.81383,0.78802,0.63353,0.68243,0.36796,1.29316,0.82962,0.81516,0.00107675,0.00107675,0.00107675
9,160.272,1.36262,0.68378,0.80407,0.75882,0.70843,0.71157,0.38611,1.28485,0.67136,0.81676,0.001052,0.001052,0.001052
10,173.969,1.36487,0.68089,0.81041,0.77052,0.72164,0.74072,0.40591,1.22308,0.621,0.81095,0.00102725,0.00102725,0.00102725
11,189.943,1.30199,0.63381,0.80001,0.74178,0.76562,0.75544,0.44522,1.14493,0.6073,0.8059,0.0010025,0.0010025,0.0010025
12,211.265,1.23054,0.59959,0.80533,0.85256,0.73577,0.77355,0.46451,1.16306,0.57969,0.80218,0.00097775,0.00097775,0.00097775
13,225.179,1.26866,0.62731,0.80258,0.78995,0.7633,0.78705,0.45316,1.16895,0.59085,0.80419,0.000953,0.000953,0.000953
14,238.364,1.27126,0.64698,0.80723,0.79695,0.74088,0.76247,0.45688,1.15377,0.59509,0.79956,0.00092825,0.00092825,0.00092825
15,254.497,1.25207,0.63567,0.79693,0.81171,0.76709,0.81199,0.46712,1.13203,0.56537,0.80558,0.0009035,0.0009035,0.0009035
16,270.03,1.25355,0.59938,0.79043,0.89279,0.75425,0.81893,0.48671,1.12545,0.56433,0.79872,0.00087875,0.00087875,0.00087875
17,294.267,1.23385,0.59578,0.79805,0.81139,0.79716,0.81099,0.46622,1.16645,0.58423,0.80149,0.000854,0.000854,0.000854
18,317.018,1.23654,0.58476,0.79728,0.83497,0.76027,0.80853,0.46604,1.16986,0.57843,0.80671,0.00082925,0.00082925,0.00082925
19,332.932,1.26249,0.60976,0.80715,0.83261,0.75563,0.80093,0.46555,1.15619,0.58072,0.80336,0.0008045,0.0008045,0.0008045
20,351.154,1.24406,0.59583,0.80158,0.8792,0.74111,0.79841,0.47624,1.12118,0.5588,0.7992,0.00077975,0.00077975,0.00077975
21,368.503,1.21181,0.56943,0.80496,0.87561,0.77069,0.82401,0.46783,1.13824,0.58325,0.80037,0.000755,0.000755,0.000755
22,388.607,1.2345,0.57556,0.79901,0.80306,0.78289,0.80007,0.48364,1.11948,0.54947,0.79501,0.00073025,0.00073025,0.00073025
23,408.673,1.18655,0.55136,0.78999,0.79073,0.77272,0.789,0.47705,1.10534,0.56114,0.79565,0.0007055,0.0007055,0.0007055
24,427.796,1.17628,0.54952,0.7878,0.88324,0.74847,0.81617,0.49283,1.10983,0.54842,0.79815,0.00068075,0.00068075,0.00068075
25,443.172,1.16198,0.54072,0.78756,0.85878,0.7504,0.81421,0.49525,1.12669,0.54298,0.79834,0.000656,0.000656,0.000656
26,456.27,1.16366,0.54704,0.79336,0.88046,0.78005,0.82925,0.5073,1.09118,0.52673,0.79194,0.00063125,0.00063125,0.00063125
27,480.621,1.14586,0.53307,0.79057,0.84399,0.80935,0.8338,0.49445,1.13073,0.53406,0.79876,0.0006065,0.0006065,0.0006065
28,503.721,1.1433,0.53117,0.79653,0.92373,0.77056,0.83647,0.48907,1.14672,0.5441,0.79642,0.00058175,0.00058175,0.00058175
29,518.916,1.21692,0.55618,0.79156,0.83994,0.80138,0.83158,0.49826,1.11679,0.5558,0.79315,0.000557,0.000557,0.000557
30,535.347,1.15033,0.5441,0.79521,0.8778,0.76957,0.82249,0.51082,1.08293,0.52472,0.79057,0.00053225,0.00053225,0.00053225
31,549.059,1.15874,0.53296,0.78451,0.85219,0.80171,0.83636,0.51209,1.06021,0.50834,0.79317,0.0005075,0.0005075,0.0005075
32,570.315,1.13193,0.52457,0.78596,0.82774,0.81939,0.83435,0.50637,1.05086,0.50011,0.79117,0.00048275,0.00048275,0.00048275
33,592.551,1.14215,0.52228,0.78408,0.8682,0.77998,0.8186,0.49668,1.07405,0.51685,0.79104,0.000458,0.000458,0.000458
34,605.915,1.13812,0.51806,0.78813,0.87306,0.79451,0.84851,0.50577,1.05135,0.50959,0.7932,0.00043325,0.00043325,0.00043325
35,621.76,1.09423,0.50303,0.78391,0.8669,0.7957,0.83758,0.49848,1.06537,0.50131,0.79597,0.0004085,0.0004085,0.0004085
36,640.534,1.07973,0.49171,0.78628,0.86671,0.79327,0.82903,0.50197,1.06304,0.50656,0.79517,0.00038375,0.00038375,0.00038375
37,653.188,1.09428,0.4983,0.78194,0.8983,0.76573,0.83901,0.51825,1.03227,0.49012,0.78805,0.000359,0.000359,0.000359
38,672.612,1.11612,0.50135,0.7832,0.93872,0.7493,0.83275,0.52966,1.02834,0.49239,0.78717,0.00033425,0.00033425,0.00033425
39,693.562,1.11453,0.49823,0.78155,0.91112,0.77746,0.83528,0.52927,1.01609,0.4816,0.78609,0.0003095,0.0003095,0.0003095
40,714.368,1.06364,0.48474,0.78442,0.89659,0.80435,0.84102,0.52451,1.02251,0.48419,0.78492,0.00028475,0.00028475,0.00028475
41,728.695,1.00002,0.45938,0.78948,0.89987,0.79202,0.84586,0.5303,1.01093,0.4788,0.78655,0.00026,0.00026,0.00026
42,744.754,0.97212,0.44994,0.79395,0.9158,0.78572,0.83752,0.52871,1.00569,0.48099,0.78574,0.00023525,0.00023525,0.00023525
43,758.399,0.98571,0.44833,0.78847,0.93019,0.80499,0.85077,0.53023,1.01995,0.46831,0.78691,0.0002105,0.0002105,0.0002105
44,775.122,0.99058,0.45513,0.79209,0.9061,0.79547,0.84087,0.53236,1.01028,0.46355,0.78469,0.00018575,0.00018575,0.00018575
45,788.207,0.96444,0.44963,0.7873,0.90149,0.80511,0.84416,0.53115,1.01378,0.46955,0.78694,0.000161,0.000161,0.000161
46,801.182,0.96933,0.43834,0.78929,0.87799,0.80819,0.85037,0.53153,1.00449,0.45935,0.78586,0.00013625,0.00013625,0.00013625
47,814.666,0.94504,0.43357,0.78919,0.86133,0.82546,0.85004,0.53563,0.99812,0.45971,0.78532,0.0001115,0.0001115,0.0001115
48,828.087,0.93697,0.4281,0.79009,0.86708,0.81787,0.85459,0.52648,1.00555,0.46059,0.78766,8.675e-05,8.675e-05,8.675e-05
49,842.053,0.94051,0.42689,0.78697,0.87185,0.82969,0.85638,0.53633,0.99728,0.45606,0.78582,6.2e-05,6.2e-05,6.2e-05
50,855.365,0.92508,0.42312,0.78888,0.96951,0.77323,0.84657,0.54093,0.99066,0.4508,0.78499,3.725e-05,3.725e-05,3.725e-05
